,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
365,2005 DODGE RAM 2500,10000,2003.0,19.0,0.0,diesel,306000,clean,automatic,fair,6 cylinders,4wd,,,,
366,BMW 335I,5900,2008.0,14.0,0.0,gas,142000,rebuilt,automatic,good,6 cylinders,,blue,,,WBAWB73558P043902
367,CHRYSLER PACIFICA,3500,2005.0,17.0,0.0,gas,276000,clean,automatic,good,6 cylinders,fwd,silver,full-size,SUV,
368,LINCOLN TOWN CAR,8400,2007.0,15.0,0.0,gas,150000,clean,automatic,excellent,,,silver,,,
369,TOYOTA COROLLA SR5,4700,1989.0,33.0,1.0,gas,301000,clean,manual,good,4 cylinders,fwd,white,compact,coupe,
370,CHEVY TAHOE,10750,2008.0,14.0,0.0,gas,151000,clean,automatic,excellent,8 cylinders,4wd,grey,full-size,SUV,
371,TOYOTA CAMRY,5995,2005.0,17.0,1.0,gas,224400,clean,automatic,excellent,4 cylinders,fwd,,,,
372,BUICK REGAL,12345,1984.0,38.0,0.0,gas,1000,clean,automatic,,,,,,,
373,CHEVROLET CAMARO,24900,1987.0,35.0,0.0,gas,68000,clean,manual,excellent,8 cylinders,rwd,,,,
374,GMC SIERRA 1500,6250,1990.0,32.0,0.0,gas,161000,clean,automatic,good,8 cylinders,4wd,red,,truck,
375,HONDA ACCORD,1995,1999.0,23.0,1.0,gas,200000,clean,automatic,good,6 cylinders,fwd,green,mid-size,sedan,
376,FORD F-250,14000,2000.0,22.0,0.0,diesel,153000,clean,manual,good,8 cylinders,rwd,,,,
377,TOYOTA TUNDRA CREW CAB 4X2,7500,2000.0,22.0,1.0,gas,198614,clean,automatic,excellent,,rwd,green,mid-size,truck,
378,TOYOTA 4RUNNER,9000,2004.0,18.0,1.0,gas,181000,clean,automatic,good,6 cylinders,4wd,blue,full-size,SUV,
