,MODEL,PRICE,MODEL YEAR,CAR AGE,JAPANESE,FUEL,ODOMETER,TITLE STATUS,TRANSMISSION,CONDITION,CYLINDERS,DRIVE,PAINT COLOR,SIZE,TYPE,VIN
508,FORD RANGER,3700,2000.0,22.0,0.0,gas,270000,clean,automatic,,,,,,,
509,CHEVY BLAZER,1000,2002.0,20.0,0.0,gas,260000,clean,automatic,,,,,,,
510,MALBU,1700,1980.0,42.0,0.0,gas,,clean,automatic,good,6 cylinders,rwd,brown,,,
511,TOYOTA CAMRY,700,1995.0,27.0,1.0,gas,1000,clean,manual,fair,4 cylinders,fwd,green,,sedan,
512,GMC,5900,2006.0,16.0,0.0,gas,230000,clean,automatic,excellent,8 cylinders,4wd,silver,full-size,SUV,
513,GMC,5200,2006.0,16.0,0.0,gas,230000,clean,automatic,excellent,8 cylinders,4wd,silver,full-size,SUV,
514,CHEVROLET TRAILBLAZER,4000,2008.0,14.0,0.0,gas,171000,clean,automatic,good,6 cylinders,4wd,white,mid-size,SUV,
515,MERCURY MARINER,4300,2008.0,14.0,0.0,hybrid,139000,salvage,other,good,4 cylinders,fwd,blue,mid-size,SUV,
516,MERCURY MARINER,3950,2008.0,14.0,0.0,hybrid,139000,salvage,other,good,4 cylinders,fwd,blue,mid-size,SUV,
517,FORD E150 ECONOLINE,3300,1999.0,23.0,0.0,gas,220000,clean,automatic,,,,,,,
518,GMC S 15,1500,1989.0,33.0,0.0,gas,168000,clean,automatic,,,,,,,
